ticker,company,aliases,country,sector,idx_code,idx_board,listed_shares,listing_date_raw
ARTO.JK,Bank Jago Tbk.,ARTO;ARTO.JK;Bank Jago Tbk.;Bank Jago,Indonesia,,ARTO,Utama,13722768400,12 Jan 2016
ASBI.JK,Asuransi Bintang Tbk.,ASBI;ASBI.JK;Asuransi Bintang Tbk.;Asuransi Bintang,Indonesia,,ASBI,Pengembangan,348386472,29 Nov 1989
ASDM.JK,Asuransi Dayin Mitra Tbk.,ASDM;ASDM.JK;Asuransi Dayin Mitra Tbk.;Asuransi Dayin Mitra,Indonesia,,ASDM,Pengembangan,384000000,15 Des 1989
ASGR.JK,Astra Graphia Tbk.,ASGR;ASGR.JK;Astra Graphia Tbk.;Astra Graphia,Indonesia,,ASGR,Utama,1348780500,15 Nov 1989
ASII.JK,Astra International Tbk.,ASII;ASII.JK;Astra International Tbk.;Astra International,Indonesia,,ASII,Utama,40483553140,04 Apr 1990
ASJT.JK,Asuransi Jasa Tania Tbk.,ASJT;ASJT.JK;Asuransi Jasa Tania Tbk.;Asuransi Jasa Tania,Indonesia,,ASJT,Pengembangan,1400000000,23 Des 2003
ASMI.JK,Asuransi Maximus Graha Persada,ASMI;ASMI.JK;Asuransi Maximus Graha Persada,Indonesia,,ASMI,Pemantauan Khusus,8958380460,16 Jan 2014
ASRI.JK,Alam Sutera Realty Tbk.,ASRI;ASRI.JK;Alam Sutera Realty Tbk.;Alam Sutera Realty,Indonesia,,ASRI,Utama,19649411888,18 Des 2007
ASRM.JK,Asuransi Ramayana Tbk.,ASRM;ASRM.JK;Asuransi Ramayana Tbk.;Asuransi Ramayana,Indonesia,,ASRM,Pengembangan,1277992036,19 Mar 1990
ASSA.JK,Adi Sarana Armada Tbk.,ASSA;ASSA.JK;Adi Sarana Armada Tbk.;Adi Sarana Armada,Indonesia,,ASSA,Utama,3691137517,12 Nov 2012
ATIC.JK,Anabatic Technologies Tbk.,ATIC;ATIC.JK;Anabatic Technologies Tbk.;Anabatic Technologies,Indonesia,,ATIC,Pengembangan,2315361355,08 Jul 2015
AUTO.JK,Astra Otoparts Tbk.,AUTO;AUTO.JK;Astra Otoparts Tbk.;Astra Otoparts,Indonesia,,AUTO,Utama,4819733000,15 Jun 1998
BABP.JK,Bank MNC Internasional Tbk.,BABP;BABP.JK;Bank MNC Internasional Tbk.;Bank MNC Internasional,Indonesia,,BABP,Pengembangan,44014333126,15 Jul 2002
BACA.JK,Bank Capital Indonesia Tbk.,BACA;BACA.JK;Bank Capital Indonesia Tbk.;Bank Capital Indonesia,Indonesia,,BACA,Utama,19753494636,04 Okt 2007
BAJA.JK,Saranacentral Bajatama Tbk.,BAJA;BAJA.JK;Saranacentral Bajatama Tbk.;Saranacentral Bajatama,Indonesia,,BAJA,Pengembangan,1800000000,21 Des 2011
BALI.JK,Bali Towerindo Sentra Tbk.,BALI;BALI.JK;Bali Towerindo Sentra Tbk.;Bali Towerindo Sentra,Indonesia,,BALI,Utama,3934592500,13 Mar 2014
BAPA.JK,Bekasi Asri Pemula Tbk.,BAPA;BAPA.JK;Bekasi Asri Pemula Tbk.;Bekasi Asri Pemula,Indonesia,,BAPA,Pengembangan,661784520,14 Jan 2008
BATA.JK,Sepatu Bata Tbk.,BATA;BATA.JK;Sepatu Bata Tbk.;Sepatu Bata,Indonesia,,BATA,Pemantauan Khusus,1300000000,24 Mar 1982
BAYU.JK,Bayu Buana Tbk,BAYU;BAYU.JK;Bayu Buana Tbk;Bayu Buana,Indonesia,,BAYU,Utama,353220780,30 Okt 1989
BBCA.JK,Bank Central Asia Tbk.,BBCA;BBCA.JK;Bank Central Asia Tbk.;Bank Central Asia,Indonesia,,BBCA,Utama,122042299500,31 Mei 2000
BBHI.JK,Allo Bank Indonesia Tbk.,BBHI;BBHI.JK;Allo Bank Indonesia Tbk.;Allo Bank Indonesia,Indonesia,,BBHI,Utama,21512953877,12 Agt 2015
BBKP.JK,Bank KB Indonesia Tbk.,BBKP;BBKP.JK;Bank KB Indonesia Tbk.;Bank KB Indonesia,Indonesia,,BBKP,Pengembangan,185819884852,10 Jul 2006
BBLD.JK,Buana Finance Tbk.,BBLD;BBLD.JK;Buana Finance Tbk.;Buana Finance,Indonesia,,BBLD,Pengembangan,1645796054,07 Mei 1990
BBMD.JK,Bank Mestika Dharma Tbk.,BBMD;BBMD.JK;Bank Mestika Dharma Tbk.;Bank Mestika Dharma,Indonesia,,BBMD,Utama,4049189100,08 Jul 2013
BBNI.JK,Bank Negara Indonesia (Persero,BBNI;BBNI.JK;Bank Negara Indonesia (Persero;Bank Negara Indonesia (,Indonesia,,BBNI,Utama,36924339786,25 Nov 1996
BBRI.JK,Bank Rakyat Indonesia (Persero,BBRI;BBRI.JK;Bank Rakyat Indonesia (Persero;Bank Rakyat Indonesia (,Indonesia,,BBRI,Utama,150043411587,10 Nov 2003
